ISBN,Titolo,Sottotitolo,Autore,Formato,"Numero di pagine",Editore,"Data di pubblicazione","Note private","Titolo Commento","Contenuto Commento","Stato di lettura",Voto,Tags
[9788806237493],"A cosa pensiamo quando pensiamo al calcio",,"Simon Critchley",Paperback,176,"Einaudi (Einaudi stile libero. Extra 11)",[2018-05-xx],,,"Il calcio come filo-sofia, strumento di ricerca della conoscenza e al tempo stesso metafora della vita. Se Soriano e Galeano hanno descritto la magia del calcio e Morris la sua antropologia, Critchley vorrebbe essere l'autore che rivela l'ontologia calcistica. Con risultati altalenanti. Alla fine più che la metafisica rimangono i ritratti di alcuni personaggi che il calcio lo hanno pensato e vissuto, da Clough a Klopp. Insomma un esperimento interessante, alcune intuizioni brillanti ma, come dicevano i presidenti delle squadre di una volta, manca l'amalgama.","Finito nel 15 mag 2020, 00:00:00",3.5,
[9788804671954],"Pensieri lenti e veloci",,"Daniel Kahneman",Paperback,666,"Mondadori (Oscar saggi, 15)",[2017-02-xx],,,,"Finito nel 13 dic 2020, 00:00:00",5,
[9788820317775],"Economia del settore pubblico",,"Joseph E. Stiglitz",Others,790,Hoepli,[1989-01-01],,,,,4,
[9788842823759],"Denaro. Come la finanza ha reso possibile la civiltà",,"William Goetzmann",Paperback,700,"Il Saggiatore",[2017-10-12],,,,,,
[9788804582182],"Il Discorso della Montagna",meditazioni,"Carlo Maria Martini",Paperback,143,Mondadori,[2008-xx-xx],,,,,,
[9788851126261],Evento,,"Slavoj Zizek",eBook,146,UTET,[2014-xx-xx],,,,,,
[9788831742214],Sovietistan,"Un viaggio in Asia centrale","Erika Fatland",eBook,417,Marsilio,[2017-10-25],,,,"Finito nel 10 ago 2020, 00:00:00",3.5,
[9788834340158],"Il capitalismo e il sacro",,"Luigino Bruni",Paperback,126,"Avvenire - Vita e Pensiero (Pagine prime)",[2019-11-xx],,,,"Finito nel 25 lug 2020, 00:00:00",3,
[9781852251987],Clough,"the autobiography","Brian Clough",Hardcover,326,"Bantam Press",[1994-11-10],,,,"Finito nel 15 ago 2020, 00:00:00",3,
[9788815272867],"Il pensiero computazionale","Dagli algoritmi al coding","Fabrizio Luccio, Paolo Ferragina",Paperback,256,"Il Mulino",[2017-xx-xx],,,,,,
[9788806174767],"Sorvegliare e punire","Nascita della prigione","Michel Foucault",Paperback,340,"Giulio Einaudi Editore",[2005-01-01],,,,"Finito nel 21 ago 2020, 00:00:00",4.5,
,"La Sardegna spagnola","Storia della Sardegna antica e moderna vol.7","Giancarlo Sorgia",Hardcover,225,Chiarella,[1982-01-01],,,,"Finito nel 8 ago 2020, 00:00:00",3,
[9788865763483],"Giocati dal caso",,"Nassim Nicholas Taleb",eBook,215,"Il Saggiatore",[2014-05-03],,,,"Finito nel 6 ago 2020, 00:00:00",4,
[9788817024457],"Viki che voleva andare a scuola",,"Fabrizio Gatti",Others,261,"Rizzoli (Narrativa)",[2008-06-25],,,,"Finito nel 13 ago 2020, 00:00:00",3.5,
[9788831101615],"Benedetta economia. Benedetto di Norcia e Francesco d'Assisi nella storia economica europea",,"Luigino Bruni, Alessandra Smerilli",Others,,"Citt&agrave; Nuova",[xxxx-xx-xx],,,,"Finito nel 13 ago 2020, 00:00:00",4,
[9788858835968],"Un'estate con la Strega dell'Ovest",,"Kaho Nashiki",eBook,141,Feltrinelli,[2019-xx-xx],,,,"Finito nel 1 ago 2020, 00:00:00",3,
[9788834603000],"Il nome della rosa",,"Umberto Eco",Paperback,628,"La Nave di Teseo (Oceani 93)",[2020-05-xx],,,,"Finito nel 16 ago 2020, 00:00:00",4,
[9788858122426],"Il pensiero meridiano",,"Franco Cassano",eBook,141,Laterza,[2015-09-01],,,,"Finito nel 3 ago 2020, 00:00:00",4,
[9788834601556],"La società signorile di massa",,"Luca Ricolfi",eBook,267,"La nave di Teseo (I Fari, 59)",[2019-10-24],,,,"Finito nel 18 ago 2020, 00:00:00",3.5,
[9788804657071],"La società a costo marginale zero","L'internet delle cose, l'ascesa del «commons» collaborativo e l'eclissi del capitalismo","Jeremy Rifkin",Paperback,494,Mondadori,[2015-10-20],,,,"Finito nel 6 set 2020, 00:00:00",3.5,
[9788845292798],"Homo deus","Breve storia del futuro","Yuval Noah Harari",Hardcover,665,Bompiani,[2017-05-17],,,,,,
[9788811678595],"Rivoluzionario per caso","Come ho creato Linux (solo per divertirmi)","David Diamond, Linus Torvalds",Others,285,"Garzanti Libri",[2005-01-01],,,,"Finito nel 22 ago 2020, 00:00:00",4,
